richer,1044,0.0336741605651066
resist,1025,0.03306131664677612
heartfelt,1000,0.03225494307002548
comfortable,890,0.028706899332322677
follow,748,0.02412669741637906
documentaries,570,0.018385317549914525
heartwarming,484,0.015611392445892333
bringing,452,0.014579234267651517
detailed,408,0.013160016772570397
inventive,369,0.011902073992839402
explores,355,0.011450504789859046
escort,325,0.010482856497758281
openhearted,304,0.009805502693287746
clooney,296,0.009547463148727543
succeeds,290,0.00935393349030739
engrossing,284,0.009160403831887237
victimized,279,0.00899912911653711
frailty,257,0.008289520368996548
avoids,257,0.008289520368996548
heartbreaking,248,0.007999225881366319
help,247,0.007966970938296293
nation,226,0.007289617133825759
bourne,217,0.006999322646195529
badly,207,0.006676773215495275
accurate,205,0.006612263329355224
treat,203,0.006547753443215173
recognizable,200,0.006450988614005096
jessica,186,0.005999419411024739
unintentionally,178,0.005741379866464536
enjoyable,174,0.005612360094184434
popcorn,167,0.005386575492694255
pinocchio,165,0.005322065606554204
rare,165,0.005322065606554204
format,154,0.004967261232783924
conduct,153,0.004935006289713898
panic,149,0.004805986517433797
peek,144,0.00464471180208367
whale,144,0.00464471180208367
fails,134,0.0043221623713834145
winningly,134,0.0043221623713834145
spielberg,134,0.0043221623713834145
gutwrenching,132,0.0042576524852433635
package,132,0.0042576524852433635
startling,131,0.004225397542173338
potent,130,0.0041931425991033125
befallen,129,0.004160887656033287
eyes,126,0.0040641228268232105
cad,123,0.003967357997613134
spectacular,121,0.0039028481114730834
always,121,0.0039028481114730834
disguise,120,0.003870593168403058
prescribed,119,0.0038383382253330323
worse,118,0.003806083282263007
sloppy,118,0.003806083282263007
faults,116,0.003741573396122956
evocative,116,0.003741573396122956
pleasurable,114,0.003677063509982905
seagal,112,0.003612553623842854
refreshing,112,0.003612553623842854
smooth,104,0.00335451407928265
lean,104,0.00335451407928265
clue,103,0.0033222591362126247
tiny,102,0.003290004193142599
predominantly,101,0.0032577492500725736
frame,100,0.003225494307002548
suited,100,0.003225494307002548
designed,99,0.0031932393639325226
grind,99,0.0031932393639325226
omnibus,99,0.0031932393639325226
tomorrow,98,0.003160984420862497
twin,97,0.0031287294777924716
outstanding,97,0.0031287294777924716
meaningful,94,0.003031964648582395
lousy,93,0.0029997097055123696
paxton,92,0.002967454762442344
happiness,91,0.002935199819372319
weak,86,0.0027739251040221915
jealousy,82,0.0026449053317420894
understands,81,0.002612650388672064
drawing,81,0.002612650388672064
trite,80,0.0025803954456020384
secretary,80,0.0025803954456020384
pacino,79,0.002548140502532013
culture,79,0.002548140502532013
scratch,76,0.0024513756733219364
metaphor,76,0.0024513756733219364
games,76,0.0024513756733219364
unlimited,75,0.0024191207302519113
undone,75,0.0024191207302519113
deft,73,0.0023546108441118603
masterfully,73,0.0023546108441118603
savvy,73,0.0023546108441118603
unclear,72,0.002322355901041835
subtle,72,0.002322355901041835
40,71,0.0022901009579718093
jettisoned,71,0.0022901009579718093
armed,70,0.002257846014901784
returns,70,0.002257846014901784
wrenching,69,0.0022255910718317583
academy,68,0.0021933361287617328
calls,68,0.0021933361287617328
lovers,68,0.0021933361287617328
chaotic,68,0.0021933361287617328
shoot,67,0.0021610811856917073
yarn,67,0.0021610811856917073
gently,66,0.0021288262426216818
thrown,65,0.0020965712995516562
complaint,65,0.0020965712995516562
warm,65,0.0020965712995516562
survival,64,0.0020643163564816307
al,64,0.0020643163564816307
flat,63,0.0020320614134116052
pleasing,63,0.0020320614134116052
band,63,0.0020320614134116052
enterprise,62,0.0019998064703415797
feardotcom,62,0.0019998064703415797
vein,62,0.0019998064703415797
spirits,62,0.0019998064703415797
bruised,62,0.0019998064703415797
embrace,61,0.0019675515272715542
begin,61,0.0019675515272715542
topbilled,60,0.001935296584201529
skillfully,60,0.001935296584201529
revealed,60,0.001935296584201529
punching,58,0.001870786698061478
grandkids,57,0.0018385317549914524
improvisation,57,0.0018385317549914524
diversion,56,0.001806276811921427
splitting,55,0.0017740218688514014
bitter,55,0.0017740218688514014
sparkling,54,0.001741766925781376
whirl,54,0.001741766925781376
aware,54,0.001741766925781376
radical,53,0.0017095119827113506
misty,53,0.0017095119827113506
breathes,53,0.0017095119827113506
sorry,52,0.001677257039641325
honesty,52,0.001677257039641325
chain,52,0.001677257039641325
paul,52,0.001677257039641325
outshined,51,0.0016450020965712996
dogs,51,0.0016450020965712996
gradually,51,0.0016450020965712996
walker,50,0.001612747153501274
filmmaker,50,0.001612747153501274
sadness,50,0.001612747153501274
impressively,50,0.001612747153501274
mistake,49,0.0015804922104312486
timely,49,0.0015804922104312486
party,49,0.0015804922104312486
everyman,49,0.0015804922104312486
jolt,49,0.0015804922104312486
wondered,49,0.0015804922104312486
closer,49,0.0015804922104312486
essence,48,0.001548237267361223
soulful,48,0.001548237267361223
sayles,48,0.001548237267361223
examines,48,0.001548237267361223
4ever,47,0.0015159823242911975
eloquent,47,0.0015159823242911975
communal,47,0.0015159823242911975
banter,47,0.0015159823242911975
conned,47,0.0015159823242911975
flashes,46,0.001483727381221172
remotely,46,0.001483727381221172
hamming,46,0.001483727381221172
grandparents,46,0.001483727381221172
marvin,46,0.001483727381221172
sentimentalizing,46,0.001483727381221172
journey,45,0.0014514724381511467
barely,44,0.0014192174950811212
poorly,44,0.0014192174950811212
inane,44,0.0014192174950811212
disarming,44,0.0014192174950811212
satisfies,44,0.0014192174950811212
advantage,43,0.0013869625520110957
marcken,43,0.0013869625520110957
hawaiian,43,0.0013869625520110957
satiric,43,0.0013869625520110957
yours,42,0.0013547076089410702
insane,42,0.0013547076089410702
